dataset,run_id,rank,model,cv_score,ensemble_score
raisins_class,0,1,cat_150_deep,0.8694444444444445,0.8833333333333333
raisins_class,0,2,logreg_l2_strong,0.8680555555555557,0.8833333333333333
raisins_class,0,3,xgb_200_subsample,0.8680555555555556,0.8833333333333333
raisins_class,0,4,svc_rbf_tight,0.8680555555555556,0.8833333333333333
raisins_class,0,5,cat_500_very_slow,0.8666666666666668,0.8833333333333333
raisins_class,1,1,cat_150_deep,0.8694444444444445,0.8833333333333333
raisins_class,1,2,logreg_l2_strong,0.8680555555555557,0.8833333333333333
raisins_class,1,3,xgb_200_subsample,0.8680555555555556,0.8833333333333333
raisins_class,1,4,svc_rbf_tight,0.8680555555555556,0.8833333333333333
raisins_class,1,5,cat_500_very_slow,0.8666666666666668,0.8833333333333333
raisins_class,2,1,cat_150_deep,0.8694444444444445,0.8833333333333333
raisins_class,2,2,logreg_l2_strong,0.8680555555555557,0.8833333333333333
raisins_class,2,3,xgb_200_subsample,0.8680555555555556,0.8833333333333333
raisins_class,2,4,svc_rbf_tight,0.8680555555555556,0.8833333333333333
raisins_class,2,5,cat_500_very_slow,0.8666666666666668,0.8833333333333333
raisins_class,3,1,cat_150_deep,0.8694444444444445,0.8833333333333333
raisins_class,3,2,logreg_l2_strong,0.8680555555555557,0.8833333333333333
raisins_class,3,3,xgb_200_subsample,0.8680555555555556,0.8833333333333333
raisins_class,3,4,svc_rbf_tight,0.8680555555555556,0.8833333333333333
raisins_class,3,5,cat_500_very_slow,0.8666666666666668,0.8833333333333333
raisins_class,4,1,cat_150_deep,0.8694444444444445,0.8833333333333333
raisins_class,4,2,logreg_l2_strong,0.8680555555555557,0.8833333333333333
raisins_class,4,3,xgb_200_subsample,0.8680555555555556,0.8833333333333333
raisins_class,4,4,svc_rbf_tight,0.8680555555555556,0.8833333333333333
raisins_class,4,5,cat_500_very_slow,0.8666666666666668,0.8833333333333333
med_mort30,0,1,svc_linear,0.8278617103758432,0.8100057175528874
med_mort30,0,2,logreg_l2_standard,0.8232212912716192,0.8100057175528874
med_mort30,0,3,logreg_l1_selection,0.8232212912716192,0.8100057175528874
med_mort30,0,4,logreg_l2_strong,0.8225352952079815,0.8100057175528874
med_mort30,0,5,lgbm_300_dart_slow,0.7739480862699408,0.8100057175528874
med_mort30,1,1,svc_linear,0.8278617103758432,0.8100057175528874
med_mort30,1,2,logreg_l2_standard,0.8232212912716192,0.8100057175528874
med_mort30,1,3,logreg_l1_selection,0.8232212912716192,0.8100057175528874
med_mort30,1,4,logreg_l2_strong,0.8225352952079815,0.8100057175528874
med_mort30,1,5,lgbm_300_dart_slow,0.7739480862699408,0.8100057175528874
med_mort30,2,1,svc_linear,0.8278617103758432,0.8100057175528874
med_mort30,2,2,logreg_l2_standard,0.8232212912716192,0.8100057175528874
med_mort30,2,3,logreg_l1_selection,0.8232212912716192,0.8100057175528874
med_mort30,2,4,logreg_l2_strong,0.8225352952079815,0.8100057175528874
med_mort30,2,5,lgbm_300_dart_slow,0.7739480862699408,0.8100057175528874
med_mort30,3,1,svc_linear,0.8278617103758432,0.8100057175528874
med_mort30,3,2,logreg_l2_standard,0.8232212912716192,0.8100057175528874
med_mort30,3,3,logreg_l1_selection,0.8232212912716192,0.8100057175528874
med_mort30,3,4,logreg_l2_strong,0.8225352952079815,0.8100057175528874
med_mort30,3,5,lgbm_300_dart_slow,0.7739480862699408,0.8100057175528874
med_mort30,4,1,svc_linear,0.8278617103758432,0.8100057175528874
med_mort30,4,2,logreg_l2_standard,0.8232212912716192,0.8100057175528874
med_mort30,4,3,logreg_l1_selection,0.8232212912716192,0.8100057175528874
med_mort30,4,4,logreg_l2_strong,0.8225352952079815,0.8100057175528874
med_mort30,4,5,lgbm_300_dart_slow,0.7739480862699408,0.8100057175528874
income_50k,0,1,lgbm_100_feature_fraction,0.844059929188879,0.845744378445249
income_50k,0,2,lgbm_100_leaves15,0.843784591948378,0.845744378445249
income_50k,0,3,lgbm_100_standard,0.8436440052435433,0.845744378445249
income_50k,0,4,lgbm_200_reg_l1,0.8433059258485625,0.845744378445249
income_50k,0,5,lgbm_200_reg_l2,0.8431022354827629,0.845744378445249
income_50k,1,1,lgbm_100_feature_fraction,0.844059929188879,0.845744378445249
income_50k,1,2,lgbm_100_leaves15,0.843784591948378,0.845744378445249
income_50k,1,3,lgbm_100_standard,0.8436440052435433,0.845744378445249
income_50k,1,4,lgbm_200_reg_l1,0.8433059258485625,0.845744378445249
income_50k,1,5,lgbm_200_reg_l2,0.8431022354827629,0.845744378445249
income_50k,2,1,lgbm_100_feature_fraction,0.844059929188879,0.845744378445249
income_50k,2,2,lgbm_100_leaves15,0.843784591948378,0.845744378445249
income_50k,2,3,lgbm_100_standard,0.8436440052435433,0.845744378445249
income_50k,2,4,lgbm_200_reg_l1,0.8433059258485625,0.845744378445249
income_50k,2,5,lgbm_200_reg_l2,0.8431022354827629,0.845744378445249
income_50k,3,1,lgbm_100_feature_fraction,0.844059929188879,0.845744378445249
income_50k,3,2,lgbm_100_leaves15,0.843784591948378,0.845744378445249
income_50k,3,3,lgbm_100_standard,0.8436440052435433,0.845744378445249
income_50k,3,4,lgbm_200_reg_l1,0.8433059258485625,0.845744378445249
income_50k,3,5,lgbm_200_reg_l2,0.8431022354827629,0.845744378445249
income_50k,4,1,lgbm_100_feature_fraction,0.844059929188879,0.845744378445249
income_50k,4,2,lgbm_100_leaves15,0.843784591948378,0.845744378445249
income_50k,4,3,lgbm_100_standard,0.8436440052435433,0.845744378445249
income_50k,4,4,lgbm_200_reg_l1,0.8433059258485625,0.845744378445249
income_50k,4,5,lgbm_200_reg_l2,0.8431022354827629,0.845744378445249
